"UF","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds"
"AC",77,578,599,0,12,0,0,11961,0,9,19,0,18842,9,0
"AL",2495,1775,5250,755,120,245,0,9857,270,3155,305,0,63619,28,0
"AM",872,795,16,26827,12,0,0,2038,0,79,170,0,0,2,0
"AP",72,893,147,5769,0,0,0,2212,0,69,17,0,0,0,0
"BA",14247,11724,22503,1182,469,13,0,111225,2972,2471,1415,0,11988,51,735
"CE",2089,3735,1403,2662,172,2,0,16836,966,1258,730,0,126,7,0
"DF",0,0,0,0,0,0,0,0,0,0,2057,0,332299,0,0
"ES",983,1870,3364,4377,11,368,0,93852,2423,700,728,0,57965,8,132
"GO",6750,2938,357,22639,1168,200,11,105142,1978,2430,1375,658,159617,287,0
"MA",2824,3735,355,19717,667,143,0,32140,1131,3637,75,0,79222,45,0
"MG",20556,17876,13256,27188,1248,599,827,244878,15376,6087,2589,492,533114,179,499
"MS",2638,6032,568,6557,125,0,0,72453,0,425,781,0,93314,100,0
"MT",1483,2044,548,14258,258,228,0,143087,0,1524,588,0,89511,209,0
"PA",3540,1411,1480,24423,168,223,0,26784,82,1060,233,0,111786,3,0
"PB",2254,5369,4488,2798,498,953,0,13798,22,912,347,0,9484,209,0
"PE",4151,2522,8522,232,189,4,22,45193,1192,2603,1295,1,25194,13,0
"PI",1283,1489,4602,4830,280,0,0,50671,0,596,90,0,39366,2,102
"PR",533,18392,2184,2203,1039,423,0,202200,5250,2221,1679,0,200520,362,154
"RJ",3671,1973,7785,4113,24,1,0,183426,10041,2434,1140,0,143698,92,4
"RN",2584,1232,617,10275,480,180,0,6853,12104,1830,45,0,68404,6,0
"RO",743,1535,219,6073,40,0,0,19760,15,917,1,0,22674,80,0
"RR",33,0,7,0,25,0,0,2929,0,8,0,0,0,6,0
"RS",9324,23065,1035,5046,1335,1042,490,157855,3399,9896,1621,0,319921,585,0
"SC",618,12941,650,1,1463,163,0,58078,0,413,1215,0,317757,260,0
"SE",1635,1563,5394,1039,44,0,23,10549,3138,275,111,0,1944,4,0
"SP",12390,15974,4981,20140,1097,448,0,394245,15318,4426,84379,1324,2085276,11,200
"TO",1134,1913,664,0,86,0,0,45044,0,30,70,0,0,75,0
