"UF","cod_municipio_ibge","NO_MUNICIPIO_RESIDENCIA","mean_grades_group_cities","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds","remuneracao_media","desvio_padrao","gini","pib","pib_p_capta","media_idhm"
"AC",1200013,"Acrelândia",470.07149122807,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,1855.13,2515.53,0.559,253609712,16623.6,0.586090909090909
"AC",1200054,"Assis Brasil",472.342013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1855.13,2515.53,0.559,93054149,12546.06,0.586090909090909
"AC",1200104,"Brasiléia",482.544292604502,0,0,8,0,0,0,0,1210,0,1,0,0,0,0,0,1855.13,2515.53,0.559,454802574,17307.35,0.586090909090909
"AC",1200138,"Bujari",462.659513274336,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,1855.13,2515.53,0.559,157655612,15357.06,0.586090909090909
"AC",1200179,"Capixaba",467.653846153846,10,0,3,0,0,0,0,304,0,0,0,0,0,1,0,1855.13,2515.53,0.559,153209713,13058.02,0.586090909090909
"AC",1200203,"Cruzeiro do Sul",473.937449127907,0,0,31,0,0,0,0,3681,0,6,0,0,0,3,0,1855.13,2515.53,0.559,1440378526,16298.3,0.586090909090909
"AC",1200252,"Epitaciolândia",482.864977973568,0,0,5,0,0,0,0,573,0,0,0,0,0,1,0,1855.13,2515.53,0.559,423163089,22984.25,0.586090909090909
"AC",1200302,"Feijó",469.251636568849,19,152,0,0,0,0,0,933,0,0,0,0,0,2,0,1855.13,2515.53,0.559,356965446,10263.53,0.586090909090909
"AC",1200328,"Jordão",458.397697368421,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1855.13,2515.53,0.559,82484119,9917.53,0.586090909090909
"AC",1200336,"Mâncio Lima",459.568436873747,11,0,0,0,0,0,0,314,0,0,0,0,0,0,0,1855.13,2515.53,0.559,205845369,10847.1,0.586090909090909
